trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-99.61217652701569,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,0,-98.15912057671483,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-119.27876306516359,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-41.93007338888815,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9607894391523232}",35,9,-157.3837722725541,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 2}",1
6,False,"{'a': 0.6, 'e': 0.951229424500714}",30,16,-54.42843454604812,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-149.92664129724162,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9323938199059483}",30,14,-67.08936749554516,"{0: 8, 1: 4, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,-135.5815850951675,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.9139311852712282}",25,0,-152.8542140814491,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9048374180359595}",25,0,-65.33864200623265,"{0: 17, 1: 6, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,15,-0.39717471772516477,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.8869204367171575}",25,0,-192.78595757516317,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.6, 'e': 0.8780954309205613}",20,0,-88.23616888978378,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.8693582353988059}",30,0,-134.43910525475192,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8607079764250578}",20,0,-43.8197993074745,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8521437889662113}",25,0,-159.83135654767045,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.8436648165963837}",20,0,-121.94495879103145,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,-125.65161487794315,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8269591339433623}",20,0,-81.77767586267831,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8187307530779818}",25,0,-164.6010986232831,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.6, 'e': 0.8105842459701871}",20,0,-97.85617244766205,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.8025187979624785}",25,9,-44.33636180347463,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.794533602503334}",20,0,-110.66862445423678,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,0,-107.61698344559262,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.7788007830714049}",20,0,-82.92099463044259,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.7710515858035663}",35,0,-98.59892606757064,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.7633794943368531}",20,0,-46.49866024111902,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.7557837414557255}",25,14,-25.246946639070174,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.7482635675785653}",20,0,-132.5544947089416,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
31,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,0,-78.23129020511185,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.7334469562242892}",25,0,-171.0439905216737,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.6, 'e': 0.7261490370736909}",20,0,-61.261506305066064,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.6, 'e': 0.7189237334319262}",25,3,-150.84317544395836,"{0: 9, 1: 1, 2: 10, 3: 1, 4: 1}",1
35,False,"{'a': 0.6, 'e': 0.7117703227626097}",25,0,-65.34741457063498,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.7046880897187134}",25,11,-22.689477688277574,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.6, 'e': 0.697676326071031}",25,0,-48.38721619727425,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.6907343306373547}",30,8,-16.356236325618244,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.6838614092123558}",20,0,-86.15078249150596,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
40,False,"{'a': 0.6, 'e': 0.6770568744981647}",20,0,-26.278681298328692,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.6, 'e': 0.6703200460356393}",25,14,-11.427331620442699,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.6636502501363194}",20,5,12.792448031757981,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.6, 'e': 0.6570468198150567}",30,0,-28.03677112786603,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.6, 'e': 0.6505090947233165}",30,0,-114.85540728458332,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.6, 'e': 0.6440364210831414}",20,0,-42.61013102935201,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,0,-37.15682263900896,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.631283645506926}",20,0,-4.654809612161479,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.6250022682827008}",35,14,-81.8351069848112,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 1}",1
49,False,"{'a': 0.6, 'e': 0.6187833918061408}",35,18,-69.5455380788123,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
50,False,"{'a': 0.6, 'e': 0.6126263941844161}",20,0,-21.38275729465092,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.6065306597126334}",20,6,-31.958745755948307,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.6004955788122659}",25,0,-44.62961997609981,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.5945205479701944}",25,0,-84.00267652863985,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
54,False,"{'a': 0.6, 'e': 0.5886049696783552}",35,0,-9.520243483235422,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,0,-42.99737750643297,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.5769498103804866}",20,10,-50.56812224061111,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.5712090638488149}",20,5,-1.6089028084944488,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.5655254386995371}",25,4,-25.997780727560848,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.6, 'e': 0.559898366565402}",25,4,-1.9677839189136073,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.5543272847345071}",30,7,-35.52474057481011,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.5488116360940265}",25,0,-96.07180254941878,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 0.6, 'e': 0.5433508690744998}",20,0,-62.095110003826214,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,0,-69.95853616012508,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.5325918010068972}",20,0,-15.105060546118079,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.6, 'e': 0.5272924240430485}",20,0,-67.46409257728898,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.6, 'e': 0.522045776761016}",30,15,15.988832459050986,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.5168513344916992}",25,8,-13.414673975155477,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.5117085777865424}",25,2,-79.83574246029963,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
69,False,"{'a': 0.6, 'e': 0.5066169923655895}",20,8,-15.297451914761835,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.5015760690660555}",20,0,16.893078411446925,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.49658530379140947}",20,6,-66.84211839553235,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
72,False,"{'a': 0.6, 'e': 0.4916441974609651}",20,0,-60.81033053682239,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.6, 'e': 0.4867522559599717}",20,1,4.697229648818899,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.48190899009020244}",25,7,5.945804843687338,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.4771139155210344}",20,0,-20.552494276988895,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.6, 'e': 0.4723665527410147}",30,8,-126.53983867084122,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 3}",1
77,False,"{'a': 0.6, 'e': 0.46766642700990924}",25,10,4.939698773871824,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.46301306831122807}",30,8,-28.786218255080264,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.4584060113052235}",30,14,-48.399437195414116,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.6, 'e': 0.45384479528235583}",20,13,2.486077432633855,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.44932896411722156}",30,11,-43.33751108166901,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.4448580662229411}",20,0,-68.09588436766451,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.6, 'e': 0.44043165450599925}",20,0,10.845035339506317,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.6, 'e': 0.43604928632153556}",20,10,-5.263347955549455,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.43171052342907973}",25,2,-62.84613838426431,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.4274149319487267}",20,0,6.920044938512407,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.4231620823177488}",20,0,-17.832643951848173,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.6, 'e': 0.418951549247639}",20,0,-27.838831898110318,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.6, 'e': 0.4147829116815814}",25,7,-3.0499911858592474,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.4106557527523455}",20,0,-34.26559452686965,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.6, 'e': 0.4065696597405991}",20,0,-25.294328067774533,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
92,False,"{'a': 0.6, 'e': 0.40252422403363597}",30,0,-143.16643071936153,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
93,False,"{'a': 0.6, 'e': 0.39851904108451414}",30,19,22.91053199087584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.3945537103716011}",20,4,-81.31653827657253,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
95,False,"{'a': 0.6, 'e': 0.3906278353585211}",30,12,7.557182539277911,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.3867410234545012}",25,8,-68.61242217140567,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.6, 'e': 0.38289288597511206}",30,13,-6.4141103808812625,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.37908303810339883}",20,8,8.933168341808557,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.37531109885139957}",30,0,-22.347434938827863,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.3715766910220457}",20,7,-32.78795516989228,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.36787944117144233}",30,5,-73.29540929087331,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
102,False,"{'a': 0.6, 'e': 0.3642189795715233}",20,12,-27.987495612960462,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.3605949401730783}",20,14,12.444295795087228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.3570069605691474}",30,8,-23.919679556832936,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.35345468195878016}",30,3,-24.794774923591273,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.6, 'e': 0.3499377491111553}",25,6,34.47583304772608,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.3464558103300574}",25,0,16.89927165192537,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 0.34300851741870664}",30,13,-18.039904331710986,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.6, 'e': 0.3395955256449391}",20,11,-25.856375686925052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.6, 'e': 0.3362164937067333}",20,1,29.46387336228306,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.33287108369807955}",20,13,11.046665498683307,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.32955896107518906}",20,0,14.171000344871938,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.6, 'e': 0.32627979462303947}",25,11,-10.00185963594235,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.3230332564222529}",20,10,20.030954749880298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.31981902181630384}",20,6,21.18394068629179,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.31663676937905316}",20,6,10.315244781788765,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.3134861808826053}",25,0,34.484760453727354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.6, 'e': 0.31036694126548503}",25,19,1.5739183423319103,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.30727873860113125}",20,0,-6.498550630892755,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.6, 'e': 0.3042212640667041}",20,11,14.661135336052272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.6, 'e': 0.30119421191220214}",25,0,-31.799422567445433,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
122,False,"{'a': 0.6, 'e': 0.2981972794298874}",30,18,-4.9874311931848245,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.6, 'e': 0.2952301669240142}",25,14,24.413464027318835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.6, 'e': 0.2922925776808594}",25,17,3.257757808186237,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.2893842179390506}",20,8,-18.4949559880551,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.6, 'e': 0.2865047968601901}",25,1,3.199619616329768,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.6, 'e': 0.2836540264997704}",20,0,-54.35467908460754,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.6, 'e': 0.2808316217783798}",25,3,38.97660909476685,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.27803730045319414}",30,0,35.83098027949103,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.27527078308975234}",25,11,-32.24558281091395,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
131,False,"{'a': 0.6, 'e': 0.2725317930340126}",25,9,27.11418086325794,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.6, 'e': 0.2698200563846868}",25,0,1.104061648782885,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.6, 'e': 0.26713530196585034}",20,8,11.028468072394066,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.26447726129982396}",25,8,-13.90273908191367,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.261845668580326}",20,11,3.734844930056805,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.6, 'e': 0.2592402606458915}",25,8,28.28937112541282,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.6, 'e': 0.2566607769535559}",20,12,1.6554360586867456,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.25410695955280027}",20,10,-36.23961977974537,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.6, 'e': 0.25157855305975646}",20,1,15.56834119748734,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.24907530463166816}",25,9,-16.574358149386818,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.24659696394160643}",35,22,21.523123233733234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.2441432831534371}",25,3,21.117746272261087,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.24171401689703645}",25,13,9.874126811191982,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 0.23930892224375455}",25,1,21.693955511247584,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.23692775868212176}",35,25,-3.662842141763995,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.6, 'e': 0.23457028809379765}",20,7,14.186171139977565,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.6, 'e': 0.23223627472975883}",25,18,13.100012482607385,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.6, 'e': 0.22992548518672384}",25,16,15.285451567350439,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.22763768838381274}",30,13,-25.399118438018505,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.22537265553943872}",20,8,20.028567892389432,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.22313016014842982}",20,6,-22.903349426146935,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.6, 'e': 0.2209099779593782}",25,4,32.86398084741648,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.21871188695221475}",20,3,17.137608059235852,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.21653566731600707}",25,4,34.05791659264071,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.21438110142697794}",20,10,22.47056120438052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.21224797382674304}",25,6,19.176371604253088,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.21013607120076472}",20,9,21.940517608075922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.20804518235702046}",25,8,-7.3919581189760875,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.6, 'e': 0.20597509820488344}",20,13,15.548454103596535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.20392561173421342}",25,7,-32.902026991068446,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.6, 'e': 0.20189651799465538}",20,7,19.600295597117608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.1998876140751445}",25,12,-26.75458293292141,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.6, 'e': 0.19789869908361465}",30,16,23.015572148478086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19592957412690934}",25,14,20.1889941945926,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.19398004229089189}",20,8,16.484028265476802,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.19204990862075408}",30,1,14.406496722732475,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.1901389801015205}",20,8,12.301212927692156,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.1882470656387468}",25,13,-6.163550049822615,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.18637397603940997}",35,13,24.56686756139879,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18451952399298926}",25,5,35.87158322110705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.18268352405273466}",30,8,-36.92639615985465,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.6, 'e': 0.1808657926171221}",30,12,-31.45348733686193,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.6, 'e': 0.17906614791149322}",20,13,14.312792285145083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.17728440996987782}",20,3,15.531814756650046,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.17552040061699686}",25,13,24.10873033902421,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.17377394345044514}",25,10,2.5420739703262285,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.17204486382305054}",20,9,-35.905574887458926,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.6, 'e': 0.17033298882540943}",25,2,32.250981121644,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.1686381472685955}",20,16,7.52733268314802,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.6, 'e': 0.1669601696670407}",20,12,-9.571882265445995,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.6, 'e': 0.16529888822158653}",25,15,7.982374312112916,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.16365413680270405}",20,8,9.045087544860097,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.16202575093388075}",20,12,12.98295429219023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.6, 'e': 0.16041356777517274}",25,0,-0.4363055826279263,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
